*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAR 13, 2025 05:16:48

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 253   133     3278     0.35     0.00      562     0.04     0.00     2062       20        0     2082
 2022 254   134     3480     0.31     0.00      565     0.04     0.00     2074       20        0     2095
 2022 255   135     3064     0.32     0.00      568     0.04     0.00     2086       20        0     2106
 2022 256   136     2847     0.33     0.00      571     0.04     0.00     2096       21        0     2117
 2022 257   137     2546     0.33     0.00      574     0.04     0.00     2105       21        0     2126
 2022 258   138     2801     0.34     0.00      576     0.04     0.00     2116       21        0     2137
 2022 259   139     3111     0.33     0.00      580     0.04     0.00     2127       21        0     2148
 2022 260   140     3975     0.09     0.00      584     0.05     0.00     2142       21        0     2163
 2022 261   141     4381     0.27     0.00      588     0.05     0.00     2158       21        0     2179
 2022 262   142     4401     0.39     0.00      592     0.05     0.00     2174       21        0     2195
 2022 263   143     4245     0.38     0.00      597     0.05     0.00     2190       22        0     2211
