*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 28, 2025 20:34:02

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2022 175   55   9.073   1.997   0.000   0.064   0.000   0.000   0.000     0.0  0.4978  0.0000  0.0000  0.0000  0.3494  0.0000  0.0000  0.0004  0.0000  0.0022    0.0000   -0.0000
 2022 176   56   9.185   2.002   0.000   0.065   0.000   0.000   0.000     0.0  0.4664  0.0000  0.0000  0.0000  0.3456  0.0000  0.0000  0.0004  0.0000  0.0022   -0.0000   -0.0000
 2022 177   57   9.258   2.008   0.000   0.065   0.000   0.000   0.000     0.0  0.4119  0.0000  0.0000  0.0000  0.3309  0.0000  0.0000  0.0004  0.0000  0.0023   -0.0000   -0.0000
 2022 178   58   9.331   2.011   0.000   0.065   0.000   0.000   0.000     0.0  0.3899  0.0000  0.0000  0.0000  0.3099  0.0000  0.0000  0.0004  0.0000  0.0023   -0.0000   -0.0000
 2022 179   59   9.410   2.015   0.000   0.065   0.000   0.000   0.000     0.0  0.3886  0.0000  0.0000  0.0000  0.3039  0.0000  0.0000  0.0004  0.0000  0.0023    0.0000   -0.0000
 2022 180   60   9.470   2.017   0.000   0.066   0.000   0.000   0.000     0.0  0.3694  0.0000  0.0000  0.0000  0.3040  0.0000  0.0000  0.0004  0.0000  0.0024   -0.0000   -0.0000
 2022 181   61   9.534   2.022   0.000   0.066   0.000   0.000   0.000     0.0  0.3775  0.0000  0.0000  0.0000  0.3058  0.0000  0.0000  0.0004  0.0000  0.0024   -0.0000   -0.0000
 2022 182   62   9.612   2.026   0.000   0.066   0.000   0.000   0.000     0.0  0.4020  0.0000  0.0000  0.0000  0.3167  0.0000  0.0000  0.0004  0.0000  0.0024    0.0000   -0.0000
 2022 183   63   9.704   2.026   0.000   0.074   0.000   0.000   0.000     0.0  0.4291  0.0000  0.0000  0.0000  0.3266  0.0000  0.0000  0.0004  0.0000  0.0026   -0.0000   -0.0000
 2022 184   64   9.493   2.041   0.000   0.083   0.000   0.000   0.000     0.0  0.5046  0.0000  0.0000  0.0000  0.6909  0.0000  0.0000  0.0001  0.0000  0.0004   -0.0000   -0.0000
