*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:01:04

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2023 252   143   130  209.0  171.0   38.1   1.37   0.61  248.4   20.8   17.3    0.6   0.61   1.12    0.00   10.97
 2023 253   144   131  209.5  171.3   38.1   1.37   0.61  248.9   20.8   17.3    0.6   0.61   1.12    0.00   11.12
 2023 254   145   132  209.6  172.1   37.5   1.37   0.60  249.2   20.5   17.0    0.6   0.60   1.13    0.00   11.27
 2023 255   146   133  209.9  173.2   36.7   1.36   0.59  249.6   20.1   16.7    0.6   0.59   1.13    0.00   11.42
 2023 256   147   134  210.2  174.1   36.1   1.35   0.58  250.0   19.7   16.4    0.6   0.58   1.13    0.00   11.57
 2023 257   148   135  210.6  174.7   35.9   1.35   0.58  250.4   19.6   16.3    0.6   0.58   1.14    0.00   11.72
 2023 258   149   136  210.9  175.1   35.8   1.35   0.57  250.9   19.5   16.3    0.6   0.57   1.14    0.00   11.87
 2023 259   150   137  211.2  176.0   35.2   1.34   0.57  251.3   19.2   16.0    0.6   0.57   1.15    0.00   12.02
 2023 260   151   138  211.6  176.7   34.8   1.33   0.56  251.7   19.0   15.8    0.6   0.56   1.15    0.00   12.17
 2023 261   152   139  211.9  177.4   34.6   1.33   0.55  252.2   18.9   15.7    0.6   0.55   1.15    0.00   12.31
 2023 262   153   140  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
 2023 263   154   141  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
 2023 264   155   142  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
 2023 265   156   143  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
 2023 266   157   144  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
 2023 267   158   145  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
 2023 268   159   146  212.3  178.0   34.3   1.32   0.55  252.7   18.7   15.6    0.6   0.55   1.16    0.00   12.46
