*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 17, 2025 18:38:41

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2022 193   73  10.558   2.051   0.000   0.108   0.000   0.000   0.000     0.0  0.6129  0.0000  0.0000  0.0000  0.5851  0.0000  0.0000  0.0006  0.0003  0.0043    0.0000    0.0000
 2022 194   74  10.573   2.061   0.000   0.107   0.000   0.000   0.000     0.0  0.5917  0.0000  0.0000  0.0000  0.5622  0.0000  0.0000  0.0006  0.0002  0.0043   -0.0000    0.0000
 2022 195   75  10.588   2.065   0.000   0.106   0.000   0.000   0.000     0.0  0.5859  0.0000  0.0000  0.0000  0.5630  0.0000  0.0000  0.0006  0.0002  0.0042   -0.0000    0.0000
 2022 196   76  10.609   2.062   0.000   0.105   0.000   0.000   0.000     0.0  0.5755  0.0000  0.0000  0.0000  0.5530  0.0000  0.0000  0.0006  0.0001  0.0043    0.0000    0.0000
 2022 197   77  10.594   2.065   0.000   0.104   0.000   0.000   0.000     0.0  0.5375  0.0000  0.0000  0.0000  0.5458  0.0000  0.0000  0.0006  0.0001  0.0043    0.0000    0.0000
 2022 198   78  10.636   2.058   0.000   0.103   0.000   0.000   0.000     0.0  0.5525  0.0000  0.0000  0.0000  0.5133  0.0000  0.0000  0.0006  0.0001  0.0043   -0.0000   -0.0000
 2022 199   79  10.695   2.046   0.000   0.102   0.000   0.000   0.000     0.0  0.5550  0.0000  0.0000  0.0000  0.5045  0.0000  0.0000  0.0006  0.0000  0.0043    0.0000    0.0000
 2022 200   80  10.754   2.032   0.000   0.101   0.000   0.000   0.000     0.0  0.5437  0.0000  0.0000  0.0000  0.4943  0.0000  0.0000  0.0006  0.0000  0.0043    0.0000    0.0000
 2022 201   81  10.784   2.029   0.000   0.100   0.000   0.000   0.000     0.0  0.5017  0.0000  0.0000  0.0000  0.4705  0.0000  0.0000  0.0006  0.0000  0.0043   -0.0000    0.0000
 2022 202   82  10.820   2.029   0.000   0.099   0.000   0.000   0.000     0.0  0.4774  0.0000  0.0000  0.0000  0.4390  0.0000  0.0000  0.0006  0.0000  0.0043    0.0000    0.0000
 2022 203   83  10.788   2.033   0.000   0.101   0.000   0.000   0.000     0.0  0.5166  0.0000  0.0000  0.0000  0.5408  0.0000  0.0000  0.0002  0.0000  0.0012    0.0000    0.0000
 2022 204   84  10.802   2.032   0.000   0.101   0.000   0.000   0.000     0.0  0.5262  0.0000  0.0000  0.0000  0.5095  0.0000  0.0000  0.0005  0.0000  0.0037    0.0000    0.0000
 2022 205   85  10.790   2.030   0.000   0.099   0.000   0.000   0.000     0.0  0.5100  0.0000  0.0000  0.0000  0.5192  0.0000  0.0000  0.0006  0.0000  0.0047   -0.0000    0.0000
 2022 206   86  10.766   2.033   0.000   0.097   0.000   0.000   0.000     0.0  0.4858  0.0000  0.0000  0.0000  0.5029  0.0000  0.0000  0.0006  0.0000  0.0046    0.0000    0.0000
 2022 207   87  10.795   2.037   0.000   0.097   0.000   0.000   0.000     0.0  0.4768  0.0000  0.0000  0.0000  0.4402  0.0000  0.0000  0.0005  0.0000  0.0038    0.0000    0.0000
 2022 208   88  10.806   2.044   0.000   0.095   0.000   0.000   0.000     0.0  0.4521  0.0000  0.0000  0.0000  0.4309  0.0000  0.0000  0.0006  0.0000  0.0046   -0.0000    0.0000
 2022 209   89  10.808   2.074   0.000   0.097   0.000   0.000   0.000     0.0  0.4627  0.0000  0.0000  0.0000  0.4283  0.0000  0.0000  0.0001  0.0000  0.0007   -0.0000    0.0000
 2022 210   90  10.798   2.091   0.000   0.097   0.000   0.000   0.000     0.0  0.4332  0.0000  0.0000  0.0000  0.4231  0.0000  0.0000  0.0003  0.0000  0.0023    0.0000    0.0000
 2022 211   91  10.795   2.107   0.000   0.095   0.000   0.000   0.000     0.0  0.4299  0.0000  0.0000  0.0000  0.4147  0.0000  0.0000  0.0006  0.0000  0.0042   -0.0000    0.0000
 2022 212   92  10.805   2.120   0.000   0.092   0.000   0.000   0.000     0.0  0.4354  0.0000  0.0000  0.0000  0.4089  0.0000  0.0000  0.0007  0.0000  0.0051    0.0000    0.0000
 2022 213   93  10.811   2.131   0.000   0.090   0.000   0.000   0.000     0.0  0.4443  0.0000  0.0000  0.0000  0.4240  0.0000  0.0000  0.0006  0.0000  0.0048   -0.0000    0.0000
 2022 214   94  10.865   2.137   0.000   0.088   0.000   0.000   0.000     0.0  0.4589  0.0000  0.0000  0.0000  0.3956  0.0000  0.0000  0.0006  0.0000  0.0045   -0.0000    0.0000
 2022 215   95  10.962   2.132   0.000   0.087   0.000   0.000   0.000     0.0  0.4966  0.0000  0.0000  0.0000  0.4014  0.0000  0.0000  0.0006  0.0000  0.0043   -0.0000    0.0000
 2022 216   96  11.046   2.121   0.000   0.086   0.000   0.000   0.000     0.0  0.5042  0.0000  0.0000  0.0000  0.4278  0.0000  0.0000  0.0006  0.0000  0.0042   -0.0000    0.0000
 2022 217   97  11.127   2.108   0.000   0.085   0.000   0.000   0.000     0.0  0.5053  0.0000  0.0000  0.0000  0.4337  0.0000  0.0000  0.0006  0.0000  0.0042   -0.0000    0.0000
 2022 218   98  11.216   2.090   0.000   0.084   0.000   0.000   0.000     0.0  0.5084  0.0000  0.0000  0.0000  0.4331  0.0000  0.0000  0.0006  0.0000  0.0041    0.0000    0.0000
 2022 219   99  11.293   2.077   0.000   0.083   0.000   0.000   0.000     0.0  0.4953  0.0000  0.0000  0.0000  0.4274  0.0000  0.0000  0.0006  0.0000  0.0040    0.0000    0.0000
 2022 220  100  11.307   2.080   0.000   0.082   0.000   0.000   0.000     0.0  0.4522  0.0000  0.0000  0.0000  0.4323  0.0000  0.0000  0.0005  0.0000  0.0039   -0.0000    0.0000
 2022 221  101  11.321   2.085   0.000   0.081   0.000   0.000   0.000     0.0  0.4193  0.0000  0.0000  0.0000  0.3965  0.0000  0.0000  0.0005  0.0000  0.0038    0.0000    0.0000
 2022 222  102  11.356   2.087   0.000   0.080   0.000   0.000   0.000     0.0  0.4092  0.0000  0.0000  0.0000  0.3697  0.0000  0.0000  0.0005  0.0000  0.0038   -0.0000    0.0000
 2022 223  103  11.380   2.089   0.000   0.078   0.000   0.000   0.000     0.0  0.3865  0.0000  0.0000  0.0000  0.3575  0.0000  0.0000  0.0005  0.0000  0.0037   -0.0000    0.0000
 2022 224  104  11.417   2.090   0.000   0.077   0.000   0.000   0.000     0.0  0.3787  0.0000  0.0000  0.0000  0.3374  0.0000  0.0000  0.0005  0.0000  0.0036   -0.0000    0.0000
 2022 225  105  11.489   2.084   0.000   0.076   0.000   0.000   0.000     0.0  0.4048  0.0000  0.0000  0.0000  0.3352  0.0000  0.0000  0.0005  0.0000  0.0036    0.0000    0.0000
 2022 226  106  11.565   2.074   0.000   0.075   0.000   0.000   0.000     0.0  0.4185  0.0000  0.0000  0.0000  0.3504  0.0000  0.0000  0.0005  0.0000  0.0035    0.0000    0.0000
 2022 227  107  11.630   2.064   0.000   0.075   0.000   0.000   0.000     0.0  0.4159  0.0000  0.0000  0.0000  0.3568  0.0000  0.0000  0.0005  0.0000  0.0034    0.0000    0.0000
 2022 228  108  11.601   2.056   0.000   0.076   0.000   0.000   0.000     0.0  0.4517  0.0000  0.0000  0.0000  0.4850  0.0000  0.0000  0.0003  0.0000  0.0019   -0.0000    0.0000
 2022 229  109  11.608   2.060   0.000   0.076   0.000   0.000   0.000     0.0  0.4352  0.0000  0.0000  0.0000  0.4227  0.0000  0.0000  0.0004  0.0000  0.0027   -0.0000    0.0000
 2022 230  110  11.584   2.067   0.000   0.075   0.000   0.000   0.000     0.0  0.4054  0.0000  0.0000  0.0000  0.4177  0.0000  0.0000  0.0005  0.0000  0.0034    0.0000    0.0000
 2022 231  111  11.542   2.075   0.000   0.074   0.000   0.000   0.000     0.0  0.3903  0.0000  0.0000  0.0000  0.4221  0.0000  0.0000  0.0005  0.0000  0.0033    0.0000    0.0000
 2022 232  112  11.516   2.084   0.000   0.073   0.000   0.000   0.000     0.0  0.3624  0.0000  0.0000  0.0000  0.3761  0.0000  0.0000  0.0005  0.0000  0.0033    0.0000    0.0000
 2022 233  113  11.484   2.091   0.000   0.072   0.000   0.000   0.000     0.0  0.3364  0.0000  0.0000  0.0000  0.3594  0.0000  0.0000  0.0005  0.0000  0.0032    0.0000    0.0000
 2022 234  114  11.474   2.096   0.000   0.071   0.000   0.000   0.000     0.0  0.3436  0.0000  0.0000  0.0000  0.3458  0.0000  0.0000  0.0005  0.0000  0.0032    0.0000    0.0000
 2022 235  115  11.469   2.100   0.000   0.070   0.000   0.000   0.000     0.0  0.3442  0.0000  0.0000  0.0000  0.3429  0.0000  0.0000  0.0005  0.0000  0.0032    0.0000    0.0000
 2022 236  116  11.465   2.103   0.000   0.069   0.000   0.000   0.000     0.0  0.3400  0.0000  0.0000  0.0000  0.3393  0.0000  0.0000  0.0005  0.0000  0.0031   -0.0000    0.0000
 2022 237  117  11.479   2.104   0.000   0.068   0.000   0.000   0.000     0.0  0.3460  0.0000  0.0000  0.0000  0.3279  0.0000  0.0000  0.0004  0.0000  0.0030   -0.0000    0.0000
 2022 238  118  11.526   2.101   0.000   0.067   0.000   0.000   0.000     0.0  0.3675  0.0000  0.0000  0.0000  0.3203  0.0000  0.0000  0.0004  0.0000  0.0030   -0.0000    0.0000
 2022 239  119  11.584   2.095   0.000   0.067   0.000   0.000   0.000     0.0  0.3771  0.0000  0.0000  0.0000  0.3215  0.0000  0.0000  0.0004  0.0000  0.0029   -0.0000    0.0000
 2022 240  120  11.654   2.088   0.000   0.067   0.000   0.000   0.000     0.0  0.3853  0.0000  0.0000  0.0000  0.3202  0.0000  0.0000  0.0004  0.0000  0.0029   -0.0000    0.0000
 2022 241  121  11.729   2.078   0.000   0.066   0.000   0.000   0.000     0.0  0.3902  0.0000  0.0000  0.0000  0.3221  0.0000  0.0000  0.0004  0.0000  0.0029   -0.0000    0.0000
 2022 242  122  11.790   2.072   0.000   0.066   0.000   0.000   0.000     0.0  0.3815  0.0000  0.0000  0.0000  0.3235  0.0000  0.0000  0.0004  0.0000  0.0028   -0.0000    0.0000
