*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 07, 2025 20:08:35

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 232   112     4290     0.51     0.00      515     0.04     0.00     1891       17        0     1908
 2022 233   113     3969     0.51     0.00      519     0.04     0.00     1905       18        0     1923
 2022 234   114     4048     0.50     0.00      523     0.04     0.00     1920       18        0     1938
 2022 235   115     4046     0.49     0.00      527     0.04     0.00     1935       18        0     1953
 2022 236   116     3988     0.49     0.00      531     0.04     0.00     1950       18        0     1968
 2022 237   117     4055     0.48     0.00      535     0.04     0.00     1965       19        0     1983
 2022 238   118     4306     0.47     0.00      540     0.04     0.00     1980       19        0     1999
 2022 239   119     4416     0.46     0.00      544     0.04     0.00     1997       19        0     2016
 2022 240   120     4507     0.46     0.00      549     0.04     0.00     2013       19        0     2032
 2022 241   121     4559     0.45     0.00      553     0.04     0.00     2030       19        0     2049
 2022 242   122     4451     0.45     0.00      558     0.04     0.00     2046       20        0     2066
 2022 243   123     4230     0.44     0.00      562     0.04     0.00     2062       20        0     2082
 2022 244   124     4295     0.41     0.00      566     0.04     0.00     2077       20        0     2098
 2022 245   125     4118     0.42     0.00      570     0.04     0.00     2093       20        0     2113
 2022 246   126     4040     0.42     0.00      574     0.04     0.00     2107       20        0     2128
 2022 247   127     3934     0.42     0.00      578     0.04     0.00     2122       21        0     2142
 2022 248   128     3812     0.42     0.00      582     0.04     0.00     2136       21        0     2157
 2022 249   129     3701     0.41     0.00      586     0.04     0.00     2149       21        0     2170
 2022 250   130     3761     0.41     0.00      589     0.05     0.00     2163       21        0     2184
 2022 251   131     3693     0.40     0.00      593     0.05     0.00     2177       21        0     2198
 2022 252   132     3929     0.40     0.00      597     0.05     0.00     2191       22        0     2213
 2022 253   133     3814     0.40     0.00      601     0.05     0.00     2205       22        0     2227
 2022 254   134     3912     0.35     0.00      605     0.05     0.00     2220       22        0     2241
 2022 255   135     3449     0.36     0.00      608     0.05     0.00     2232       22        0     2254
 2022 256   136     3218     0.37     0.00      611     0.05     0.00     2244       22        0     2266
 2022 257   137     2880     0.38     0.00      614     0.05     0.00     2255       22        0     2277
 2022 258   138     3187     0.38     0.00      618     0.05     0.00     2266       23        0     2289
 2022 259   139     3538     0.37     0.00      621     0.05     0.00     2279       23        0     2302
 2022 260   140     4350     0.10     0.00      625     0.05     0.00     2295       23        0     2318
 2022 261   141     4719     0.31     0.00      630     0.05     0.00     2313       23        0     2336
 2022 262   142     4727     0.45     0.00      635     0.05     0.00     2330       23        0     2353
 2022 263   143     4580     0.43     0.00      639     0.05     0.00     2347       23        0     2370
