*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 197   88  19.615   1.459   0.000   0.101   0.000   0.000   0.000     0.0  0.4493  0.0000  0.0000  0.0000  0.5265  0.0000  0.0008  0.0004  0.0013  0.0007   -0.0000    0.0000
 2020 198   89  19.501   1.476   0.000   0.099   0.000   0.000   0.000     0.0  0.4402  0.0000  0.0000  0.0000  0.5350  0.0000  0.0008  0.0006  0.0018  0.0010    0.0000    0.0000
 2020 199   90  19.414   1.474   0.000   0.097   0.000   0.000   0.000     0.0  0.4510  0.0000  0.0000  0.0000  0.5374  0.0000  0.0008  0.0006  0.0019  0.0011    0.0000    0.0000
 2020 200   91  19.319   1.463   0.000   0.096   0.000   0.000   0.000     0.0  0.4735  0.0000  0.0000  0.0000  0.5750  0.0000  0.0020  0.0006  0.0018  0.0011    0.0000    0.0000
 2020 201   92  19.197   1.458   0.000   0.094   0.000   0.000   0.000     0.0  0.4606  0.0000  0.0000  0.0000  0.5851  0.0000  0.0017  0.0006  0.0017  0.0011   -0.0000    0.0000
 2020 202   93  19.119   1.448   0.000   0.093   0.000   0.000   0.000     0.0  0.4753  0.0000  0.0000  0.0000  0.5585  0.0000  0.0020  0.0006  0.0016  0.0011   -0.0000    0.0000
 2020 203   94  19.041   1.440   0.000   0.092   0.000   0.000   0.000     0.0  0.4792  0.0000  0.0000  0.0000  0.5616  0.0000  0.0019  0.0006  0.0015  0.0011    0.0000    0.0000
 2020 204   95  18.943   1.440   0.000   0.090   0.000   0.000   0.000     0.0  0.4581  0.0000  0.0000  0.0000  0.5529  0.0000  0.0012  0.0006  0.0014  0.0011    0.0000    0.0000
 2020 205   96  18.861   1.442   0.000   0.089   0.000   0.000   0.000     0.0  0.4429  0.0000  0.0000  0.0000  0.5199  0.0000  0.0021  0.0006  0.0014  0.0011   -0.0000    0.0000
 2020 206   97  18.815   1.440   0.000   0.088   0.000   0.000   0.000     0.0  0.4525  0.0000  0.0000  0.0000  0.4961  0.0000  0.0019  0.0006  0.0013  0.0011    0.0000    0.0000
 2020 207   98  18.787   1.437   0.000   0.087   0.000   0.000   0.000     0.0  0.4699  0.0000  0.0000  0.0000  0.4976  0.0000  0.0022  0.0004  0.0010  0.0009    0.0000    0.0000
 2020 208   99  18.703   1.468   0.000   0.088   0.000   0.000   0.000     0.0  0.4858  0.0000  0.0000  0.0000  0.5361  0.0000  0.0008  0.0002  0.0003  0.0003    0.0000    0.0000
 2020 209  100  18.731   1.474   0.000   0.088   0.000   0.000   0.000     0.0  0.4987  0.0000  0.0000  0.0000  0.4622  0.0000  0.0008  0.0004  0.0008  0.0008   -0.0000    0.0000
 2020 210  101  18.738   1.472   0.000   0.087   0.000   0.000   0.000     0.0  0.4941  0.0000  0.0000  0.0000  0.4848  0.0000  0.0017  0.0006  0.0012  0.0011    0.0000    0.0000
 2020 211  102  18.725   1.459   0.000   0.086   0.000   0.000   0.000     0.0  0.4841  0.0000  0.0000  0.0000  0.5065  0.0000  0.0022  0.0006  0.0012  0.0012    0.0000    0.0000
